Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,2.585,2.09875005483627,2.11875020340085,
,,,2.59,2.12750005722046,2.11875020340085,
,,,2.595,2.09875005483627,2.05625021085143,
,,,2.6,2.09875005483627,2.08750020712614,
,,,2.605,2.09875005483627,2.08750020712614,
,,,2.61,2.07000005245209,2.08750020712614,
,,,2.615,2.12750005722046,2.08750020712614,
,,,2.62,2.07000005245209,2.15000019967556,
,,,2.625,2.09875005483627,2.08750020712614,
,,,2.63,2.09875005483627,2.05625021085143,
,,,2.635,2.07000005245209,2.05625021085143,
,,,2.64,2.0412500500679,2.08750020712614,
,,,2.645,2.07000005245209,2.11875020340085,
,,,2.65,2.07000005245209,2.02500021457672,
,,,2.655,2.07000005245209,2.05625021085143,
,,,2.66,2.07000005245209,2.08750020712614,
,,,2.665,2.07000005245209,2.08750020712614,
,,,2.67,2.0412500500679,2.05625021085143,
,,,2.675,2.07000005245209,2.05625021085143,
,,,2.68,2.07000005245209,2.05625021085143,
,,,2.685,2.07000005245209,2.08750020712614,
,,,2.69,2.07000005245209,2.02500021457672,
