Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,2.195,2.15625005960464,2.15000019967556,
,,,2.2,2.09875005483627,2.11875020340085,
,,,2.205,2.09875005483627,2.11875020340085,
,,,2.21,2.0412500500679,2.08750020712614,
,,,2.215,2.0412500500679,2.02500021457672,
,,,2.22,2.01250004768372,1.99375021830201,
,,,2.225,1.98375004529953,1.99375021830201,
,,,2.23,1.95500004291534,1.93125022575259,
,,,2.235,1.89750003814697,1.93125022575259,
,,,2.24,1.89750003814697,1.86875023320317,
,,,2.245,1.86875003576279,1.83750023692846,
,,,2.25,1.81125003099442,1.80625024065375,
,,,2.255,-0.0575001239776611,1.77500024437904,
,,,2.26,-0.0287501215934753,1.74375024810433,
,,,2.265,-0.0287501215934753,1.71250025182962,
,,,2.27,-0.0287501215934753,1.74375024810433,
,,,2.275,-0.0287501215934753,1.6500002592802,
,,,2.28,-1.19209289550781E-07,1.6500002592802,
,,,2.285,-0.0575001239776611,1.68125025555491,
,,,2.29,-0.0575001239776611,1.6500002592802,
,,,2.295,-0.0287501215934753,1.58750026673079,
,,,2.3,-0.0287501215934753,1.58750026673079,
,,,2.305,-0.0287501215934753,1.6187502630055,
,,,2.31,-0.0575001239776611,1.58750026673079,
,,,2.315,-0.0287501215934753,1.55625027045608,
,,,2.32,-0.0287501215934753,1.55625027045608,
,,,2.325,-0.0287501215934753,1.55625027045608,
,,,2.33,-1.19209289550781E-07,1.49375027790666,
,,,2.335,-0.0575001239776611,1.46250028163195,
,,,2.34,-0.0575001239776611,1.49375027790666,
,,,2.345,-1.19209289550781E-07,1.46250028163195,
,,,2.35,-0.0287501215934753,1.43125028535724,
,,,2.355,-0.0287501215934753,1.43125028535724,
,,,2.36,-0.0575001239776611,1.43125028535724,
,,,2.365,-0.0575001239776611,1.36875029280782,
,,,2.37,-0.0287501215934753,1.40000028908253,
,,,2.375,-1.19209289550781E-07,1.36875029280782,
,,,2.38,-0.0575001239776611,1.33750029653311,
,,,2.385,-0.0575001239776611,1.33750029653311,
,,,2.39,-1.19209289550781E-07,1.24375030770898,
,,,2.395,-0.0287501215934753,1.21250031143427,
,,,2.4,-0.0575001239776611,1.18125031515956,
,,,2.405,-0.0287501215934753,1.18125031515956,
,,,2.41,-0.0287501215934753,1.11875032261014,
,,,2.415,-0.0287501215934753,1.08750032633543,
,,,2.42,-0.0575001239776611,1.05625033006072,
,,,2.425,-1.19209289550781E-07,1.08750032633543,
,,,2.43,-0.0287501215934753,1.08750032633543,
,,,2.435,-1.19209289550781E-07,1.02500033378601,
,,,2.44,-0.0287501215934753,1.05625033006072,
,,,2.445,-0.0287501215934753,1.05625033006072,
,,,2.45,-0.0575001239776611,1.05625033006072,
,,,2.455,-0.0287501215934753,0.993750337511301,
,,,2.46,-0.0287501215934753,1.02500033378601,
,,,2.465,-0.0287501215934753,0.993750337511301,
,,,2.47,-0.0575001239776611,0.993750337511301,
